GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Jan 14, 2023",MIL @ MIA,L,31,14,8,1,1,0,0
"Jan 12, 2023",MIL @ MIA,L,31,9,4,1,1,0,1
"Jan 11, 2023",MIL @ ATL,W,29,10,7,0,1,0,1
"Jan 09, 2023",MIL @ NYK,W,31,11,11,4,0,0,1
"Jan 06, 2023",MIL vs. CHA,L,16,5,1,1,0,0,1
"Jan 04, 2023",MIL @ TOR,W,40,15,6,1,0,0,0
"Jan 03, 2023",MIL vs. WAS,W,32,11,2,2,0,0,0
"Jan 01, 2023",MIL vs. WAS,L,29,10,3,0,2,0,1
"Dec 30, 2022",MIL vs. MIN,W,22,2,4,1,1,0,1
"Dec 28, 2022",MIL @ CHI,L,21,0,7,2,0,0,2
"Dec 25, 2022",MIL @ BOS,L,30,15,4,3,1,0,0
"Dec 23, 2022",MIL @ BKN,L,23,6,3,1,0,0,0
"Dec 21, 2022",MIL @ CLE,L,20,6,2,1,0,0,0
"Dec 19, 2022",MIL @ NOP,W,22,11,4,1,0,1,0
"Dec 17, 2022",MIL vs. UTA,W,16,8,0,1,0,0,0
"Dec 15, 2022",MIL @ MEM,L,15,3,4,0,0,0,1
"Dec 13, 2022",MIL vs. GSW,W,19,9,3,1,2,1,4
"Dec 11, 2022",MIL @ HOU,L,25,7,3,1,1,0,1
"Dec 09, 2022",MIL @ DAL,W,25,8,7,2,0,0,0
"Dec 07, 2022",MIL vs. SAC,W,24,6,6,0,0,1,0
"Dec 05, 2022",MIL @ ORL,W,22,7,4,0,1,0,0
"Dec 03, 2022",MIL @ CHA,W,20,9,5,0,1,0,1
"Dec 02, 2022",MIL vs. LAL,L,19,8,2,2,0,0,0
"Nov 30, 2022",MIL @ NYK,W,24,10,4,0,0,0,0
"Nov 27, 2022",MIL vs. DAL,W,11,3,1,0,0,0,0
"Nov 23, 2022",MIL vs. CHI,L,14,3,3,1,1,0,0
"Nov 21, 2022",MIL vs. POR,W,16,7,2,1,2,0,0
"Apr 14, 2024",MIL @ ORL,L,14,0,1,0,0,0,1
"Apr 12, 2024",MIL @ OKC,L,16,8,1,2,0,0,1
"Apr 10, 2024",MIL vs. ORL,W,25,5,2,3,0,0,1
"Apr 09, 2024",MIL vs. BOS,W,20,4,3,2,2,0,0
"Apr 07, 2024",MIL vs. NYK,L,31,5,1,2,0,0,0
"Apr 05, 2024",MIL vs. TOR,L,33,4,4,2,2,2,0
"Apr 03, 2024",MIL vs. MEM,L,35,6,6,8,2,0,2
"Apr 02, 2024",MIL @ WAS,L,29,15,8,5,0,1,1
"Mar 30, 2024",MIL @ ATL,W,16,4,3,4,0,0,1
"Mar 28, 2024",MIL @ NOP,L,22,3,1,1,0,0,0
"Mar 26, 2024",MIL vs. LAL,L,22,3,3,9,0,0,2
"Mar 24, 2024",MIL vs. OKC,W,19,11,1,1,0,0,1
"Mar 21, 2024",MIL vs. BKN,W,15,2,0,4,1,0,0
"Mar 20, 2024",MIL @ BOS,L,24,7,5,1,0,0,1
"Mar 17, 2024",MIL vs. PHX,W,22,3,2,0,0,1,1
"Mar 14, 2024",MIL vs. PHI,W,29,9,3,4,0,0,0
"Mar 12, 2024",MIL @ SAC,L,23,7,4,1,0,0,1
"Mar 10, 2024",MIL @ LAC,W,26,5,3,2,1,1,0
"Mar 08, 2024",MIL @ LAL,L,31,17,6,1,0,0,0
"Mar 06, 2024",MIL @ GSW,L,22,6,2,3,0,0,0
"Mar 04, 2024",MIL vs. LAC,W,17,8,1,0,0,0,1
"Mar 01, 2024",MIL @ CHI,W,25,0,1,1,1,1,1
"Feb 29, 2024",MIL @ CHA,W,24,11,1,1,2,0,0
"Feb 27, 2024",MIL vs. CHA,W,26,9,3,5,3,0,1
"Feb 25, 2024",MIL @ PHI,W,22,7,5,1,0,2,1
"Feb 23, 2024",MIL @ MIN,W,20,8,4,0,0,0,0
"Feb 15, 2024",MIL @ MEM,L,24,2,5,0,2,1,2
"Feb 13, 2024",MIL vs. MIA,L,24,0,6,3,1,0,1
"Feb 12, 2024",MIL vs. DEN,W,22,5,5,5,1,1,0
"Feb 09, 2024",MIL vs. CHA,W,16,5,6,1,0,0,1
"Feb 08, 2024",MIL vs. MIN,L,37,9,2,9,0,1,4
"Feb 06, 2024",MIL @ PHX,L,32,12,6,6,0,0,0
"Feb 04, 2024",MIL @ UTA,L,18,1,4,1,2,0,1
"Feb 03, 2024",MIL @ DAL,W,18,2,3,1,1,0,0
"Jan 31, 2024",MIL @ POR,L,14,0,1,0,1,0,1
"Jan 29, 2024",MIL @ DEN,L,16,7,1,3,0,1,1
"Jan 27, 2024",MIL vs. NOP,W,20,5,3,4,1,0,1
"Jan 26, 2024",MIL vs. CLE,L,14,6,0,0,0,0,0
"Jan 24, 2024",MIL vs. CLE,W,17,6,1,0,2,0,0
"Jan 22, 2024",MIL @ DET,W,9,2,1,0,0,0,0
"Jan 20, 2024",MIL @ DET,W,14,10,4,1,0,0,1
"Jan 17, 2024",MIL @ CLE,L,14,8,1,1,0,1,0
"Jan 14, 2024",MIL vs. SAC,W,33,5,3,2,0,0,0
"Jan 13, 2024",MIL vs. GSW,W,22,3,2,2,1,1,0
"Jan 11, 2024",MIL vs. BOS,W,21,2,1,3,0,0,0
"Jan 08, 2024",MIL vs. UTA,L,22,6,2,1,0,0,0
"Jan 06, 2024",MIL @ HOU,L,19,9,1,1,0,0,0
"Jan 04, 2024",MIL @ SAS,W,28,7,6,0,1,0,3
"Jan 03, 2024",MIL @ IND,L,14,3,2,1,0,0,0
"Jan 01, 2024",MIL vs. IND,L,24,3,2,2,1,1,0
