GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 03, 2023",BOS vs. PHX,L,39,27,8,4,3,0,2
"Feb 01, 2023",BOS vs. BKN,W,32,26,3,3,0,0,2
"Jan 28, 2023",BOS vs. LAL,W,39,37,9,3,1,1,3
"Jan 26, 2023",BOS vs. NYK,L,42,22,9,2,1,0,3
"Jan 23, 2023",BOS @ ORL,L,37,26,5,3,1,0,5
"Jan 21, 2023",BOS @ TOR,W,42,27,8,6,3,0,5
"Jan 19, 2023",BOS vs. GSW,W,41,16,9,3,1,0,2
"Jan 11, 2023",BOS vs. NOP,W,35,41,12,0,0,1,2
"Jan 09, 2023",BOS vs. CHI,W,39,19,5,3,0,1,4
"Jan 07, 2023",BOS @ SAS,W,39,29,4,2,2,2,6
"Jan 05, 2023",BOS @ DAL,W,30,19,7,3,0,2,2
"Jan 03, 2023",BOS @ OKC,L,25,29,1,2,0,0,1
"Jan 01, 2023",BOS @ DEN,L,34,30,8,3,1,0,0
"Dec 29, 2022",BOS vs. LAC,W,33,29,7,2,0,0,3
"Dec 27, 2022",BOS vs. HOU,W,35,39,1,2,3,0,2
"Dec 25, 2022",BOS vs. MIL,W,37,29,5,4,1,0,4
"Dec 23, 2022",BOS vs. MIN,W,37,36,7,3,1,1,2
"Dec 21, 2022",BOS vs. IND,L,36,19,10,2,1,0,4
"Dec 18, 2022",BOS vs. ORL,L,39,24,14,2,3,2,5
"Dec 16, 2022",BOS vs. ORL,L,37,26,4,3,1,2,7
"Dec 13, 2022",BOS @ LAL,W,43,25,15,5,3,0,4
"Dec 12, 2022",BOS @ LAC,L,30,21,4,2,2,0,2
"Dec 10, 2022",BOS @ GSW,L,37,31,9,3,1,0,2
"Dec 07, 2022",BOS @ PHX,W,28,25,7,3,2,0,1
"Dec 05, 2022",BOS @ TOR,W,39,22,8,8,0,0,0
"Dec 04, 2022",BOS @ BKN,W,40,34,10,2,2,4,0
"Dec 02, 2022",BOS vs. MIA,L,46,37,14,5,0,0,5
"Nov 30, 2022",BOS vs. MIA,W,28,26,7,5,0,0,6
"Nov 27, 2022",BOS vs. WAS,W,34,36,5,2,0,0,2
"Nov 25, 2022",BOS vs. SAC,W,27,25,5,4,2,0,1
"Nov 23, 2022",BOS vs. DAL,W,36,31,4,4,2,0,2
"Nov 21, 2022",BOS @ CHI,L,38,25,7,2,0,0,5
"Nov 18, 2022",BOS @ NOP,W,37,27,10,7,2,0,7
"Nov 16, 2022",BOS @ ATL,W,23,22,5,0,2,0,3
"Nov 14, 2022",BOS vs. OKC,W,41,26,6,6,2,0,5
"Nov 11, 2022",BOS vs. DEN,W,35,25,8,8,0,0,3
"Nov 09, 2022",BOS vs. DET,W,30,30,7,3,1,0,0
"Nov 07, 2022",BOS @ MEM,W,38,21,9,2,1,0,7
