GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Nov 13, 2023",CHI @ MIL,L,37,11,4,7,0,1,1
"Nov 12, 2023",CHI vs. DET,W,37,29,1,1,0,4,0
"Nov 08, 2023",CHI vs. PHX,L,40,22,2,7,1,2,2
"Nov 06, 2023",CHI vs. UTA,W,30,21,5,4,4,0,1
"Nov 04, 2023",CHI @ DEN,L,34,17,3,6,0,0,0
"Nov 03, 2023",CHI vs. BKN,L,33,24,1,4,0,0,0
"Nov 01, 2023",CHI @ DAL,L,33,16,3,7,1,0,2
"Oct 30, 2023",CHI @ IND,W,35,20,3,4,0,1,0
"Oct 28, 2023",CHI @ DET,L,32,20,2,4,1,2,1
"Oct 27, 2023",CHI vs. TOR,W,41,33,4,3,4,1,2
"Oct 25, 2023",CHI vs. OKC,L,33,20,5,2,1,1,0
"Apr 13, 2025",SAC vs. PHX,W,28,8,0,5,0,0,2
"Apr 11, 2025",SAC vs. LAC,L,40,16,3,8,0,0,0
"Apr 09, 2025",SAC vs. DEN,L,40,22,4,4,0,1,1
"Apr 07, 2025",SAC @ DET,W,37,37,4,2,0,1,2
"Apr 06, 2025",SAC @ CLE,W,40,28,4,7,0,1,0
"Apr 04, 2025",SAC @ CHA,W,27,22,4,3,0,0,2
"Apr 02, 2025",SAC @ WAS,L,40,29,7,8,0,1,1
"Mar 31, 2025",SAC @ IND,L,42,31,3,8,1,0,0
"Mar 29, 2025",SAC @ ORL,L,29,21,4,1,0,2,1
"Mar 27, 2025",SAC vs. POR,W,37,21,2,10,0,0,3
"Mar 25, 2025",SAC vs. OKC,L,38,10,6,6,1,1,1
"Mar 24, 2025",SAC vs. BOS,L,38,20,3,10,0,1,1
"Mar 22, 2025",SAC vs. MIL,L,38,22,2,4,1,0,0
"Mar 20, 2025",SAC vs. CHI,L,36,22,3,5,1,0,1
"Mar 19, 2025",SAC vs. CLE,W,36,27,1,4,1,0,1
"Mar 17, 2025",SAC vs. MEM,W,33,22,6,8,0,1,1
"Mar 14, 2025",SAC @ PHX,L,34,23,0,1,0,0,5
"Mar 13, 2025",SAC @ GSW,L,35,23,5,7,1,0,1
"Mar 10, 2025",SAC vs. NYK,L,28,11,1,5,1,0,2
"Mar 09, 2025",SAC @ LAC,L,44,31,7,10,1,0,1
"Mar 07, 2025",SAC vs. SAS,W,38,22,9,7,0,0,3
"Mar 05, 2025",SAC @ DEN,L,42,35,6,5,0,0,3
"Mar 03, 2025",SAC @ DAL,W,30,20,2,4,0,0,1
"Mar 01, 2025",SAC @ HOU,W,40,21,2,6,0,0,2
"Feb 26, 2025",SAC @ UTA,W,34,19,6,8,2,1,0
"Feb 24, 2025",SAC vs. CHA,W,31,18,7,3,1,0,1
"Feb 21, 2025",SAC vs. GSW,L,34,34,4,6,1,0,1
"Feb 13, 2025",SAC @ NOP,L,43,20,4,5,0,0,0
"Feb 12, 2025",SAC @ NOP,W,37,24,4,6,0,0,2
"Feb 10, 2025",SAC @ DAL,W,39,42,7,3,0,0,1
"Feb 08, 2025",SAC vs. NOP,W,32,11,6,4,0,1,3
"Feb 06, 2025",SAC @ POR,L,37,22,4,7,1,3,0
"Feb 05, 2025",SAC vs. ORL,L,33,19,2,2,0,0,3
"Feb 03, 2025",SAC @ MIN,W,38,33,5,7,0,0,0
"Feb 01, 2025",SAC @ OKC,L,31,17,1,2,0,0,1
"Jan 29, 2025",SAC @ PHI,L,38,19,3,3,1,0,1
"Jan 27, 2025",SAC @ BKN,W,37,17,2,1,0,0,1
"Jan 25, 2025",SAC @ NYK,L,35,18,3,2,0,0,0
"Jan 23, 2025",SAC @ DEN,L,37,24,6,1,0,1,1
"Jan 22, 2025",SAC vs. GSW,W,39,32,5,2,2,2,1
"Jan 19, 2025",SAC vs. WAS,W,38,24,6,1,2,1,0
"Jan 16, 2025",SAC vs. HOU,W,38,33,5,4,0,0,2
"Jan 14, 2025",SAC @ MIL,L,36,28,6,4,1,0,0
"Jan 12, 2025",SAC @ CHI,W,37,21,0,3,0,0,1
"Jan 10, 2025",SAC @ BOS,W,40,24,4,9,1,1,0
"Jan 06, 2025",SAC vs. MIA,W,47,30,3,4,0,1,3
"Jan 05, 2025",SAC @ GSW,W,31,12,0,1,1,0,3
"Jan 03, 2025",SAC vs. MEM,W,38,29,3,5,0,1,1
"Jan 01, 2025",SAC vs. PHI,W,32,18,5,1,2,0,1
"Dec 30, 2024",SAC vs. DAL,W,26,14,4,2,0,0,1
"Dec 28, 2024",SAC @ LAL,L,41,25,6,7,1,0,1
"Dec 26, 2024",SAC vs. DET,L,36,19,3,4,0,0,1
"Dec 22, 2024",SAC vs. IND,L,28,2,2,2,0,0,0
"Dec 21, 2024",SAC vs. LAL,L,37,12,4,3,2,0,2
"Dec 19, 2024",SAC vs. LAL,L,35,10,5,4,1,0,1
"Dec 16, 2024",SAC vs. DEN,L,34,17,3,4,2,0,2
"Dec 12, 2024",SAC @ NOP,W,34,29,3,2,4,0,1
"Dec 08, 2024",SAC vs. UTA,W,29,18,1,4,1,1,0
"Dec 06, 2024",SAC @ SAS,W,32,23,3,2,1,0,2
"Dec 05, 2024",SAC @ MEM,L,35,26,3,1,1,0,2
"Dec 03, 2024",SAC vs. HOU,W,34,16,5,5,1,1,2
"Dec 01, 2024",SAC vs. SAS,L,37,28,5,8,3,0,0
"Nov 25, 2024",SAC vs. OKC,L,36,30,2,6,1,0,0
"Nov 24, 2024",SAC vs. BKN,L,36,18,5,5,0,0,3
"Nov 22, 2024",SAC @ LAC,L,36,16,6,2,1,1,2
"Nov 13, 2024",SAC vs. PHX,W,17,2,5,3,1,2,2
"Nov 11, 2024",SAC @ SAS,L,38,21,8,6,1,2,0
"Nov 10, 2024",SAC @ PHX,W,43,34,3,3,1,0,2
"Nov 08, 2024",SAC vs. LAC,L,40,13,1,6,2,0,2
"Nov 06, 2024",SAC vs. TOR,W,35,27,2,3,1,0,3
"Nov 04, 2024",SAC @ MIA,W,36,26,3,6,0,2,1
"Nov 02, 2024",SAC @ TOR,L,43,33,3,4,3,0,6
"Nov 01, 2024",SAC @ ATL,W,39,27,8,2,3,1,1
"Oct 29, 2024",SAC @ UTA,W,34,20,4,8,1,1,1
"Oct 28, 2024",SAC vs. POR,W,34,23,4,3,3,0,1
"Oct 26, 2024",SAC @ LAL,L,37,23,0,3,3,0,2
"Oct 24, 2024",SAC vs. MIN,L,43,26,8,2,1,0,2
