GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Nov 11, 2023",ORL vs. MIL,W,21,2,9,2,2,0,1
"Nov 09, 2023",ORL vs. ATL,L,21,12,5,0,0,2,1
"Nov 06, 2023",ORL vs. DAL,L,22,7,6,0,2,1,1
"Nov 04, 2023",ORL vs. LAL,W,26,10,10,2,0,5,0
"Oct 31, 2023",ORL @ LAC,L,4,1,1,3,0,0,0
"Oct 30, 2023",ORL @ LAL,L,1,0,0,0,0,0,0
"Oct 25, 2023",ORL vs. HOU,W,5,7,3,0,1,0,1
"Apr 13, 2025",ORL @ ATL,L,26,10,6,4,1,1,2
"Apr 11, 2025",ORL @ IND,W,23,11,7,3,1,2,1
"Apr 09, 2025",ORL vs. BOS,W,21,6,7,2,0,0,0
"Apr 03, 2025",ORL @ WAS,W,3,0,0,0,0,0,0
"Apr 01, 2025",ORL @ SAS,W,12,2,6,1,0,1,0
"Mar 31, 2025",ORL vs. LAC,L,13,0,1,1,0,0,0
"Mar 29, 2025",ORL vs. SAC,W,18,12,10,5,1,1,1
"Mar 27, 2025",ORL vs. DAL,L,18,3,5,2,1,1,0
"Mar 25, 2025",ORL @ CHA,W,22,2,9,2,0,0,1
"Mar 24, 2025",ORL vs. LAL,W,9,0,4,0,1,0,0
"Mar 21, 2025",ORL @ WAS,W,7,0,1,2,3,2,2
"Mar 19, 2025",ORL vs. HOU,L,23,19,8,0,1,1,0
"Mar 16, 2025",ORL @ CLE,W,6,3,0,1,0,1,0
"Mar 14, 2025",ORL @ MIN,L,6,0,1,1,1,1,0
"Mar 13, 2025",ORL @ NOP,W,5,0,1,2,0,0,1
"Mar 10, 2025",ORL @ HOU,L,12,4,2,0,0,2,1
"Mar 08, 2025",ORL @ MIL,W,9,3,2,0,0,0,0
"Mar 06, 2025",ORL vs. CHI,L,17,8,1,3,0,1,0
"Mar 04, 2025",ORL vs. TOR,L,16,2,5,3,0,1,1
"Mar 02, 2025",ORL vs. TOR,L,16,1,2,2,0,1,1
"Feb 27, 2025",ORL vs. GSW,L,22,7,5,1,0,0,1
"Feb 25, 2025",ORL vs. CLE,L,8,1,1,0,0,1,0
"Feb 23, 2025",ORL vs. WAS,W,22,11,9,3,2,0,1
"Feb 21, 2025",ORL vs. MEM,L,19,4,5,0,0,4,0
"Feb 20, 2025",ORL @ ATL,W,16,6,6,1,1,2,0
"Feb 12, 2025",ORL vs. CHA,W,18,1,7,2,0,4,0
"Feb 10, 2025",ORL vs. ATL,L,17,0,3,0,1,4,1
"Feb 08, 2025",ORL vs. SAS,W,26,2,9,0,1,0,1
"Feb 06, 2025",ORL @ DEN,L,17,4,3,0,0,1,1
"Feb 05, 2025",ORL @ SAC,W,23,14,7,2,0,2,1
"Feb 03, 2025",ORL @ GSW,L,20,6,14,1,1,1,2
"Feb 01, 2025",ORL @ UTA,L,16,3,8,3,0,2,0
"Jan 30, 2025",ORL @ POR,L,18,2,3,2,1,1,2
"Jan 27, 2025",ORL @ MIA,L,22,10,9,2,0,1,0
"Jan 12, 2025",ORL vs. PHI,W,12,4,2,1,2,2,1
"Jan 10, 2025",ORL vs. MIL,L,23,4,5,1,0,0,0
"Jan 09, 2025",ORL vs. MIN,L,30,15,8,2,1,3,0
"Jan 06, 2025",ORL @ NYK,W,22,6,8,4,0,3,1
"Jan 05, 2025",ORL vs. UTA,L,29,9,11,4,1,0,2
"Jan 03, 2025",ORL @ TOR,W,30,11,13,7,1,3,1
"Jan 01, 2025",ORL @ DET,L,23,8,3,6,1,0,2
"Dec 29, 2024",ORL vs. BKN,W,34,19,11,5,2,1,1
"Dec 27, 2024",ORL vs. NYK,L,31,14,11,3,1,2,4
"Dec 26, 2024",ORL vs. MIA,L,33,10,14,2,3,3,2
"Dec 23, 2024",ORL vs. BOS,W,21,8,9,3,2,2,2
"Dec 21, 2024",ORL vs. MIA,W,31,18,13,1,0,2,0
"Dec 19, 2024",ORL vs. OKC,L,27,15,10,3,0,1,2
"Dec 15, 2024",ORL vs. NYK,L,25,8,11,1,1,3,4
"Dec 10, 2024",ORL @ MIL,L,38,12,14,4,1,1,0
"Dec 08, 2024",ORL vs. PHX,W,31,21,16,4,0,0,1
"Dec 06, 2024",ORL @ PHI,L,26,9,4,2,0,2,3
"Dec 04, 2024",ORL @ PHI,W,21,6,6,1,1,1,0
"Dec 01, 2024",ORL @ BKN,W,32,12,13,2,3,2,1
"Nov 29, 2024",ORL @ BKN,W,27,8,6,3,1,5,2
"Nov 27, 2024",ORL vs. CHI,W,25,11,11,3,2,2,1
"Nov 25, 2024",ORL @ CHA,W,22,6,4,2,1,1,1
"Nov 23, 2024",ORL vs. DET,W,18,8,1,1,1,3,2
"Nov 21, 2024",ORL @ LAL,W,30,7,15,2,1,1,2
"Nov 20, 2024",ORL @ LAC,L,20,9,2,1,1,1,1
"Nov 18, 2024",ORL @ PHX,W,31,17,10,1,0,2,1
"Nov 15, 2024",ORL vs. PHI,W,27,2,4,1,1,2,5
"Nov 13, 2024",ORL vs. IND,W,28,12,12,1,1,2,3
"Nov 12, 2024",ORL vs. CHA,W,20,9,2,2,0,1,1
"Nov 10, 2024",ORL vs. WAS,W,22,10,12,3,0,1,0
"Nov 08, 2024",ORL vs. NOP,W,27,11,9,3,1,2,0
"Nov 06, 2024",ORL @ IND,L,30,10,12,2,1,3,2
"Nov 04, 2024",ORL @ OKC,L,27,11,9,4,1,1,1
"Oct 26, 2024",ORL @ MEM,L,5,2,1,1,0,1,0
"Oct 25, 2024",ORL vs. BKN,W,6,3,2,0,0,0,0
"Oct 23, 2024",ORL @ MIA,W,5,0,2,0,0,0,2
